,dreb_pg,oreb_pg,ast_pg,stl_pg,blk_pg,fg_attempted_pg,fg_made_pg,ft_attempted_pg,ft_made_pg,tov_pg,team_fga_pg,team_fta_pg,team_tov_pg
0,3.9375,0.46875,1.65625,1.46875,0.125,10.75,4.53125,1.4375,1.21875,1.875,67.78299476524587,24.711036861266283,13.664873898348592
1,1.7241379310344827,0.2413793103448276,1.6896551724137931,0.7586206896551724,0.10344827586206896,3.4827586206896552,1.5172413793103448,1.6896551724137931,1.1379310344827587,1.0,67.78299476524587,24.711036861266283,13.664873898348592
2,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.4,66.66015325670499,19.789299397920086,10.629064039408867
3,2.0357142857142856,1.4285714285714286,0.25,0.6785714285714286,0.8214285714285714,3.857142857142857,2.2142857142857144,1.8928571428571428,1.1428571428571428,1.1785714285714286,59.068048144554936,21.922249589490967,13.984425451141759
4,1.5862068965517242,0.10344827586206896,0.896551724137931,0.8275862068965517,0.1724137931034483,8.137931034482758,3.3448275862068964,1.5862068965517242,1.2758620689655173,1.0344827586206897,60.6644253734771,22.15436655946945,12.379609741852512
5,4.096774193548387,1.032258064516129,4.0,3.3548387096774195,0.16129032258064516,12.806451612903226,5.354838709677419,2.806451612903226,1.8064516129032258,3.6774193548387095,78.33126819000428,20.126160754336507,18.799856931629733
6,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.4,0.0,66.66015325670499,19.789299397920086,10.629064039408867
7,1.7,0.5666666666666667,0.9333333333333333,0.7333333333333333,0.13333333333333333,7.866666666666666,3.466666666666667,1.7333333333333334,1.4,0.8,67.78299476524587,24.711036861266283,13.664873898348592
8,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.5714285714285714,60.6644253734771,22.15436655946945,12.379609741852512
9,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,62.661238497320255,21.71397259581353,11.370108341479309
10,2.0606060606060606,0.30303030303030304,2.212121212121212,1.1515151515151516,0.36363636363636365,6.636363636363637,2.878787878787879,3.878787878787879,3.0,1.8484848484848484,69.80365315687897,22.66462462268914,15.42295428585751
11,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,66.66015325670499,19.789299397920086,10.629064039408867
12,0.47368421052631576,0.21052631578947367,1.8421052631578947,0.3684210526315789,0.05263157894736842,0.9473684210526315,0.3684210526315789,0.0,0.0,0.8947368421052632,59.068048144554936,21.922249589490967,13.984425451141759
