Player Name,School,Conference,Award Name,Subgroup,Year Won
Alijah Martin,Florida Atlantic,Conference USA,Men's All-Conference USA Winners,1st Team,2022-23
Denver Jones,Florida International,Conference USA,Men's All-Conference USA Winners,1st Team,2022-23
Johnell Davis,Florida Atlantic,Conference USA,Men's All-Conference USA Winners,1st Team,2022-23
Jordan Walker,UAB,Conference USA,Men's All-Conference USA Winners,1st Team,2022-23
Tylor Perry,North Texas,Conference USA,Men's All-Conference USA Winners,1st Team,2022-23
Brice Williams,Charlotte,Conference USA,Men's All-Conference USA Winners,2nd Team,2022-23
Dayvion McKnight,Western Kentucky,Conference USA,Men's All-Conference USA Winners,2nd Team,2022-23
Eli Lawrence,Middle Tennessee,Conference USA,Men's All-Conference USA Winners,2nd Team,2022-23
Max Fiedler,Rice,Conference USA,Men's All-Conference USA Winners,2nd Team,2022-23
Quincy Olivari,Rice,Conference USA,Men's All-Conference USA Winners,2nd Team,2022-23
Abou Ousmane,North Texas,Conference USA,Men's All-Conference USA Winners,3rd Team,2022-23
Isaiah Crawford,Louisiana Tech,Conference USA,Men's All-Conference USA Winners,3rd Team,2022-23
Jamarion Sharp,Western Kentucky,Conference USA,Men's All-Conference USA Winners,3rd Team,2022-23
Trey Jemison,UAB,Conference USA,Men's All-Conference USA Winners,3rd Team,2022-23
Vladislav Goldin,Florida Atlantic,Conference USA,Men's All-Conference USA Winners,3rd Team,2022-23
Alijah Martin,Florida Atlantic,Conference USA,Men's All-Conference USA Tournament,NA,2022-23
DeAndre Dishman,Middle Tennessee,Conference USA,Men's All-Conference USA Tournament,NA,2022-23
Johnell Davis,Florida Atlantic,Conference USA,Men's All-Conference USA Tournament,NA,2022-23
Jordan Walker,UAB,Conference USA,Men's All-Conference USA Tournament,NA,2022-23
Tylor Perry,North Texas,Conference USA,Men's All-Conference USA Tournament,NA,2022-23
Arturo Dean,Florida International,Conference USA,Men's Conference USA All-Defensive Winners,NA,2022-23
Jamarion Sharp,Western Kentucky,Conference USA,Men's Conference USA All-Defensive Winners,NA,2022-23
Rubin Jones,North Texas,Conference USA,Men's Conference USA All-Defensive Winners,NA,2022-23
Teafale Lenard,Middle Tennessee,Conference USA,Men's Conference USA All-Defensive Winners,NA,2022-23
Trey Jemison,UAB,Conference USA,Men's Conference USA All-Defensive Winners,NA,2022-23
Arturo Dean,Florida International,Conference USA,Men's Conference USA All-Freshman Winners,NA,2022-23
Dashon Gittens,Florida International,Conference USA,Men's Conference USA All-Freshman Winners,NA,2022-23
DJ Richards,UTSA,Conference USA,Men's Conference USA All-Freshman Winners,NA,2022-23
Jordan Crawford,Louisiana Tech,Conference USA,Men's Conference USA All-Freshman Winners,NA,2022-23
Mekhi Mason,Rice,Conference USA,Men's Conference USA All-Freshman Winners,NA,2022-23
Jamarion Sharp,Western Kentucky,Conference USA,Men's Conference USA Defensive Player of the Year Winners,NA,2022-23
Tylor Perry,North Texas,Conference USA,Men's Conference USA Player of the Year Winners,NA,2022-23
Arturo Dean,Florida International,Conference USA,Men's Conference USA Rookie of the Year Winners,NA,2022-23
Johnell Davis,Florida Atlantic,Conference USA,Men's Conference USA Sixth Man of the Year Winners,NA,2022-23
Alijah Martin,Florida Atlantic,Conference USA,Men's Conference USA Tournament MVP Winners,NA,2022-23
Dusty May,Florida Atlantic,Conference USA,Conference USA Coach of the Year Winner,NA,2022-23
